1.39,>,2.54,deduced
1.39,>,2.55,deduced
1.39,>,2.56,deduced
1.39,>,2.57,deduced
1.39,>,2.58,deduced
1.39,>,2.59,deduced
1.39,>,2.60,deduced
1.39,>,2.61,deduced
1.39,>,2.62,deduced
1.39,>,2.63,deduced
1.39,>,2.64,deduced
1.40,>,2.55,deduced
1.40,>,2.56,deduced
1.40,>,2.58,deduced
1.40,>,2.59,deduced
1.41,>,2.55,deduced
1.41,>,2.56,deduced
1.41,!,2.57,deduced
1.41,!,2.59,deduced
1.41,!,2.60,deduced
1.41,!,2.61,deduced
1.41,!,2.64,deduced
1.42,!,2.56,deduced
1.43,!,2.55,deduced
1.44,!,2.54,deduced
1.44,!,2.59,deduced
1.47,!,2.54,deduced
1.47,!,2.58,deduced
1.48,>,2.60,deduced
1.48,>,2.62,deduced
1.48,>,2.63,deduced
1.48,>,2.64,deduced
1.49,!,2.54,deduced
1.49,!,2.57,deduced
1.49,!,2.61,deduced
1.49,!,2.62,deduced
1.49,!,2.63,deduced
1.49,!,2.64,deduced
1.50,!,2.60,deduced
1.50,!,2.63,deduced
1.50,!,2.64,deduced
1.51,!,2.60,deduced
1.51,!,2.62,deduced
1.51,!,2.64,deduced
1.52,!,2.54,deduced
1.52,!,2.57,deduced
1.52,!,2.60,deduced
1.52,!,2.61,deduced
1.52,!,2.62,deduced
1.52,!,2.63,deduced
1.40,<,2.53,inferred
1.40,!,2.60,inferred
1.40,!,2.61,inferred
1.40,!,2.62,inferred
1.40,!,2.63,inferred
1.40,!,2.64,inferred
1.41,<,2.53,inferred
1.41,!,2.58,inferred
1.41,!,2.62,inferred
1.41,!,2.63,inferred
1.42,<,2.53,inferred
1.42,<,2.54,inferred
1.42,!,2.57,inferred
1.42,!,2.58,inferred
1.42,!,2.59,inferred
1.42,!,2.60,inferred
1.42,!,2.61,inferred
1.42,!,2.62,inferred
1.42,!,2.63,inferred
1.42,!,2.64,inferred
1.43,<,2.53,inferred
1.43,<,2.54,inferred
1.43,!,2.57,inferred
1.43,!,2.58,inferred
1.43,!,2.59,inferred
1.43,!,2.60,inferred
1.43,!,2.61,inferred
1.43,!,2.62,inferred
1.43,!,2.63,inferred
1.43,!,2.64,inferred
1.44,<,2.53,inferred
1.44,!,2.55,inferred
1.44,!,2.56,inferred
1.44,=,2.58,inferred
1.44,!,2.60,inferred
1.44,!,2.61,inferred
1.44,!,2.62,inferred
1.44,!,2.63,inferred
1.44,!,2.64,inferred
1.45,<,2.53,inferred
1.45,!,2.54,inferred
1.45,!,2.55,inferred
1.45,!,2.56,inferred
1.45,<,2.57,inferred
1.45,!,2.59,inferred
1.45,!,2.60,inferred
1.45,!,2.61,inferred
1.45,!,2.62,inferred
1.45,!,2.63,inferred
1.45,!,2.64,inferred
1.46,<,2.53,inferred
1.46,!,2.54,inferred
1.46,!,2.55,inferred
1.46,!,2.56,inferred
1.46,<,2.57,inferred
1.46,!,2.59,inferred
1.46,!,2.60,inferred
1.46,!,2.61,inferred
1.46,!,2.62,inferred
1.46,!,2.63,inferred
1.46,!,2.64,inferred
1.47,<,2.53,inferred
1.47,!,2.55,inferred
1.47,!,2.56,inferred
1.47,!,2.60,inferred
1.47,!,2.61,inferred
1.47,!,2.62,inferred
1.47,!,2.63,inferred
1.47,!,2.64,inferred
1.48,<,2.53,inferred
1.48,!,2.54,inferred
1.48,!,2.55,inferred
1.48,!,2.56,inferred
1.48,!,2.57,inferred
1.48,!,2.58,inferred
1.48,!,2.59,inferred
1.49,<,2.53,inferred
1.49,!,2.55,inferred
1.49,!,2.56,inferred
1.49,!,2.58,inferred
1.49,!,2.59,inferred
1.50,<,2.53,inferred
1.50,!,2.54,inferred
1.50,!,2.55,inferred
1.50,!,2.56,inferred
1.50,!,2.57,inferred
1.50,!,2.58,inferred
1.50,!,2.59,inferred
1.51,<,2.53,inferred
1.51,!,2.54,inferred
1.51,!,2.55,inferred
1.51,!,2.56,inferred
1.51,!,2.57,inferred
1.51,!,2.58,inferred
1.51,!,2.59,inferred
1.52,<,2.53,inferred
1.52,!,2.55,inferred
1.52,!,2.56,inferred
1.52,!,2.58,inferred
1.52,!,2.59,inferred
1.39,=,2.53,input
1.40,>,2.54,input
1.40,>,2.57,input
1.41,=,2.54,input
1.42,=,2.55,input
1.43,=,2.56,input
1.44,<,2.57,input
1.45,<,2.58,input
1.46,<,2.58,input
1.47,<,2.57,input
1.47,=,2.59,input
1.48,>,2.61,input
1.49,=,2.60,input
1.50,<,2.61,input
1.50,=,2.62,input
1.51,<,2.61,input
1.51,=,2.63,input
1.52,=,2.64,input
