1.13,>,2.25,deduced
1.13,>,2.26,deduced
1.13,>,2.27,deduced
1.13,>,2.28,deduced
1.13,>,2.29,deduced
1.13,>,2.30,deduced
1.14,!,2.26,deduced
1.14,!,2.27,deduced
1.14,!,2.30,deduced
1.15,!,2.25,deduced
1.16,!,2.25,deduced
1.14,<,2.24,inferred
1.14,!,2.28,inferred
1.14,!,2.29,inferred
1.15,<,2.24,inferred
1.16,<,2.24,inferred
1.13,=,2.24,input
1.14,=,2.25,input
1.15,<,2.26,input
1.15,=,2.27,input
1.15,!,2.28,input
1.15,!,2.29,input
1.15,!,2.30,input
1.16,><,2.26,input
1.16,!,2.27,input
1.16,>,2.28,input
1.16,>,2.29,input
1.16,>,2.30,input
